1. open,2. high,3. low,4. close,5. volume
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,3000
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,0
0.5050,0.5050,0.5050,0.5050,3000
0.5000,0.5000,0.5000,0.5000,0
0.5000,0.5000,0.5000,0.5000,5000
0.4850,0.4850,0.4850,0.4850,0
0.4850,0.4850,0.4850,0.4850,4000
0.4700,0.4700,0.4700,0.4700,0
0.4700,0.4700,0.4700,0.4700,0
0.4700,0.4700,0.4700,0.4700,0
0.4700,0.4700,0.4700,0.4700,0
0.4700,0.4700,0.4700,0.4700,0
0.4700,0.4700,0.4700,0.4700,0
0.4700,0.4700,0.4700,0.4700,0
0.4700,0.4700,0.4700,0.4700,10000
0.5000,0.5000,0.5000,0.5000,0
0.5000,0.5000,0.5000,0.5000,0
0.5000,0.5000,0.5000,0.5000,0
0.5000,0.5000,0.5000,0.5000,0
0.5000,0.5000,0.5000,0.5000,0
0.5000,0.5000,0.5000,0.5000,3001
0.4930,0.4930,0.4930,0.4930,8000
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,0
0.5081,0.5081,0.5081,0.5081,11000
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5550,0.5550,0.5500,0.5500,21000
0.5550,0.5550,0.5550,0.5550,0
0.5600,0.5600,0.5600,0.5600,0
0.5600,0.5600,0.5600,0.5600,0
0.5600,0.5600,0.5600,0.5600,0
0.5600,0.5600,0.5600,0.5600,0
0.5600,0.5600,0.5600,0.5600,0
0.5600,0.5600,0.5600,0.5600,0
0.5600,0.5600,0.5600,0.5600,0
0.5625,0.5625,0.5400,0.5550,20200
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,5000
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,5000
0.5800,0.5800,0.5800,0.5800,0
0.5800,0.5800,0.5800,0.5800,0
0.5800,0.5800,0.5800,0.5800,0
0.5800,0.5800,0.5800,0.5800,0
0.5800,0.5800,0.5800,0.5800,0
0.5800,0.5800,0.5800,0.5800,0
0.5800,0.5800,0.5800,0.5800,0
0.5800,0.5800,0.5800,0.5800,0
0.5800,0.5800,0.5800,0.5800,0
0.5845,0.5845,0.5845,0.5845,12000
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,0
0.5400,0.5400,0.5400,0.5400,1600
0.5300,0.5300,0.5300,0.5300,0
0.5300,0.5300,0.5300,0.5300,0
0.5300,0.5300,0.5300,0.5300,0
0.5300,0.5300,0.5300,0.5300,1600
0.5300,0.5300,0.5300,0.5300,0
0.5300,0.5300,0.5300,0.5300,0
0.5275,0.5275,0.5275,0.5275,8000
0.5100,0.5100,0.5100,0.5100,0
0.5100,0.5100,0.5100,0.5100,0
0.5100,0.5100,0.5100,0.5100,20000
0.5200,0.5200,0.5200,0.5200,0
0.5200,0.5200,0.5200,0.5200,0
0.5200,0.5200,0.5200,0.5200,0
0.5241,0.5241,0.5241,0.5241,1500
